Status (included or 'maybe included'),DOMAIN,SORT CODE,STEPHEN CODE,INDICATOR,NOTES Thur 26th June - 2nd refinement for Delphi,DEFINITIONS/What we mean,RESPONDENT 1,RESPONDENT 2,RESPONDENT 3,RESPONDENT 4,RESPONDENT 5,RESPONDENT 6,RESPONDENT 7,RESPONDENT 8,RESPONDENT 9,RESPONDENT 10,RESPONDENT 11,RESPONDENT 12,RESPONDENT 13,Sum,Denominator,Score,Number of 1 scores,Number of 2 scores,Number of 3 scores,Number of 4 scores,
included,HEALTHCARE USE,HUSE43,Hospital admissions,Length of inpatient stays  in older adults aged 65 years and over in the last year,,The average number of days that adults aged 65 years and over spent in hospital during inpatient admissions during the last year,2,1,1,1,1,1,2,1,1,1,1,1,1,15,13,1.15,11,2,0,0,
included,VULNERABLE GROUPS,VULN7,Living arrangements,Number of persons aged 65 years and over usually resident in a nursing home home/residential facility or hospital by sex and census year,,The number of people aged 65 years and older who live long-term in care facilities or hospitals.,2,1,2,1,1,1,1,1,1,1,1,1,1,15,13,1.15,11,2,0,0,
included,CHRONIC DISEASES,CHRD2,Cardiovascular conditions,Percentage of older adults aged 65 years and over who have a cardiovascular disease,,"The proportion of adults aged 65 years and over who have a heart-related illness such as heart attack, angina, or stroke.",1,1,1,3,2,1,1,1,1,1,1,1,1,16,13,1.23,11,1,1,0,
included,CHRONIC DISEASES,CHRD3,Pain,Percentage of older adults aged 65 years and over who report severe or moderate pain most of the time,,The percentage of people aged 65 years and over who regularly experience moderate or severe pain.,1,1,1,3,1,1,1,1,1,1,1,2,1,16,13,1.23,11,1,1,0,
included,CHRONIC DISEASES,CHRD5,Mental health,Percentage of older adults aged 65 years and over with depression (CESD-8),,"The percentage of adults aged 65 years and over who report symptoms of depression, measured using a standard survey tool.",1,1,2,3,1,1,1,1,1,1,1,1,1,16,13,1.23,11,1,1,0,
included,HEALTHCARE USE,HUSE41,Outpatient visits,Number of outpatient visits in older adults aged 65 years and over in the last year,,"The number of times adults aged 65 years and over attended hospital appointments, but without being admitted overnight, in the past year.",3,1,1,2,1,1,1,1,1,1,1,1,1,16,13,1.23,11,1,1,0,
included,HOUSING AND ENVIRONMENT,HOUS3,Living arrangements,Number of Persons aged 65 years and over living alone in private households ,,The number of adults aged 65 years and over who live by themselves in their own home or apartment.,1,1,1,1,1,2,1,1,1,1,1,1,3,16,13,1.23,11,1,1,0,
included,HOUSING AND ENVIRONMENT,HOUS4,Living arrangements,Percentage of persons aged 65 years and over living alone in private households,,The percentage of adults aged 65 years and overwho live alone in private homes.,1,1,1,1,2,1,1,1,1,1,1,1,3,16,13,1.23,11,1,1,0,
included,HEALTHCARE USE,HUSE40,Emergency department use,Number of Emergency Department visits in older adults aged 65 years and over in the last year,,The number of times people aged 65 years and over went to the hospital Emergency Department in the past year.,2,1,1,1,1,1,1,1,1,1,1,4,1,17,13,1.31,11,1,0,1,
included,HEALTH STATUS,STAT9,Population demographics,Percentage of Persons aged 65 years and over with a Disability ,,The percentage of adults aged 65 years and over who report having a disability that affects their daily life.,1,1,1,3,1,0,1,1,1,1,1,1,1,14,12,1.17,11,1,0,0,
included,HEALTH STATUS,STAT1,Loneliness and wellbeing,Healthy Life Years (HLY) at age 65 years,,The number of years a person aged 65 years can expect to live in good health without a serious illness or disability.,3,1,1,3,1,1,1,1,1,1,1,1,1,17,13,1.31,11,0,2,0,
included,CHRONIC DISEASES,CHRD1,Frailty and multimorbidity,Percentage of older adults aged 65 years and over who have a chronic disease,,"The proportion of  people aged 65 years and over living with one or more long-term health conditions such as diabetes, arthritis, or heart disease.",1,1,1,3,1,1,1,1,1,1,1,4,1,18,13,1.38,11,0,1,1,
included,HEALTHCARE USE,HUSE34,Home and community supports,Percentage of older adults aged 65 years and over who are in receipt of home help,,"The percentage of people aged 65 years and over receiving basic support services at home like cleaning, shopping, or help with daily tasks.",1,1,1,1,1,0,1,1,1,1,1,2,1,13,12,1.08,11,0,0,0,
included,HEALTHCARE USE,HUSE36,Home and community supports,Percentage of older adults aged 65 years and over who are in receipt of Meals-on-Wheels,,The percentage of adults aged 65 years and over who receive ready-to-eat meals delivered to their homes.,2,1,2,1,1,1,1,1,1,1,1,2,1,16,13,1.23,10,3,0,0,
included,DEMOGRAPHICS,DEMO2,Population demographics,Projected population aged 65 years and over by age group and year using the M2 projection scenario ,Explanation of M2 project scenario definition. DMcK done. Decision made 01.07.25 to remove ('000),"Estimated future numbers of people aged 65 years and over based on national population projections (M2 scenario). M2 assumption for population projection: this is an assumption for the purposes of predicting population growth, in which the presumed migration is at a moderate level.",1,1,1,1,3,1,2,2,1,1,1,1,1,17,13,1.31,10,2,1,0,
duplicate,HEALTH STATUS,STAT11,,Percentage of people 65 and above with a confirmed long-term condition,This is a duplicate - delete it ,,2,1,1,2,1,1,1,1,1,3,1,1,1,17,13,1.31,10,2,1,0,
included,HEALTH STATUS,STAT21,Vision and hearing,Number of people aged aged 65 years and over who are blind or have a visual impairment,,The number of people aged 65 years and over who report being blind or having difficulty seeing even with glasses.,1,1,1,1,3,1,2,1,1,1,2,1,1,17,13,1.31,10,2,1,0,
included,HEALTHCARE USE,HUSE39,Primary and community care,Number of GP visits in older adults aged 65 years and over in the last year,,The number of times people aged 65 years and over visited a general practitioner (GP) in the past year.,3,1,1,2,1,1,2,1,1,1,1,1,1,17,13,1.31,10,2,1,0,
included,HEALTHCARE USE,HUSE2,Hospital admissions,Percentage of people aged 65 years and over who have been admitted to hospital as an inpatient by sex and year,,"The percentage of adults aged 65 years and over who were admitted to hospital overnight or longer, shown by sex and year.",2,1,1,1,1,0,1,1,1,1,1,1,2,14,12,1.17,10,2,0,0,
included,HEALTHCARE USE,HUSE7,Primary and community care,Number of people aged 65 years and over in receipt of home support - OP54,,The number of adults aged 65 years and over who receive formal home support services under the OP54 national reporting measure.,1,1,1,2,1,0,1,1,1,1,1,1,2,14,12,1.17,10,2,0,0,
included,VULNERABLE GROUPS,VULN10,Intellectual disability,Number of people with an intellectual disability aged 65 years and over,,The number of adults aged 65 years and over who have a diagnosed intellectual disability.,2,1,1,2,1,1,1,0,1,1,1,1,1,14,12,1.17,10,2,0,0,
included,CHRONIC DISEASES,CHRD6,"Smoking, alcohol and lifestyle",Percentage of older adults aged 65 years and over who report problematic alcohol use (CAGE measure),change 'ho' to 'who',The percentage of adults aged 65 years and over who may have alcohol-related problems based on the CAGE screening questionnaire.,1,1,1,3,1,1,1,1,1,1,1,3,2,18,13,1.38,10,1,2,0,
included,HEALTHCARE USE,HUSE1,Primary and community care,Percentage of people aged 65 years and over with a GP Visit card or Medical Card,,The proportion of  adults aged 65 years and over who are eligible for free or subsidised healthcare under state schemes.,3,1,1,1,1,0,2,1,1,1,1,1,1,15,12,1.25,10,1,1,0,
included,HEALTHCARE USE,HUSE33,Medication and prescribing,Percentage of older adults aged 65 years and over who are taking five or more medications,,The proportion of adults aged 65 years and over who are on five or more prescribed medications (known as polypharmacy).,1,3,1,2,1,0,1,1,1,1,1,1,1,15,12,1.25,10,1,1,0,
included,HEALTH STATUS,STAT33,Population demographics,Population by general health.  Self-reported general health of older adults aged 65 years and over (Displayed  as: Very good; Good; Fair; Bad; Very bad; Not stated),,"The proportion of adults aged 65 years and over who rate their own general health, from very good to very bad.",2,1,1,1,1,1,1,1,1,1,4,4,1,20,13,1.54,10,1,0,2,
included,HEALTHCARE USE,HUSE10,Cardiovascular conditions,"Ischaemic stroke discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over - amend definition ,"The number of adults aged 65 years and over who have been discharged from hospital after a stroke caused by a blocked artery, per 1,000 population aged 65 years and over.",1,1,1,1,3,0,1,1,1,1,1,3,1,16,12,1.33,10,0,2,0,
included,HOUSING AND ENVIRONMENT,HOUS1,Living arrangements,Housing tenure status by age group of reference person and census year,,"The proportion of adults aged 65 years and over who own or rent their home, or have another housing arrangement, by age group.",2,1,1,2,1,1,1,1,1,1,2,1,2,17,13,1.31,9,4,0,0,
included,DEMOGRAPHICS,DEMO13,Caregiving,"Carers by sex: Proportion of the population aged 65 years and over providing regular unpaid care or support to a family member, neighbour or friend with a long-term illness, old age or a disability. Displayed as: Female; Male. ",,"The proportion of people aged 65 years and over who regularly provide unpaid care or help, shown separately for men and women.",3,1,2,2,1,1,2,1,1,1,1,1,1,18,13,1.38,9,3,1,0,
included,DEMOGRAPHICS,DEMO15,Socioeconomic status,Proportion of Population aged 65 years and over by social class and sex.,,"The proportion of people aged 65 years and over, by occupational social class and sex.",1,1,1,2,2,2,1,1,1,1,1,3,1,18,13,1.38,9,3,1,0,
duplicate,DEMOGRAPHICS,DEMO9,,Number and proportion of population aged 65 years and over (projected),This is a duplicate - delete it ,,1,1,1,3,1,2,2,2,1,1,1,1,1,18,13,1.38,9,3,1,0,
included,HEALTH BEHAVIOURS,BEHV16,Vaccinations,Percentage of older adults aged 65 years and over who have had a flu vaccine in the previous two years,,The proportion of people aged 65 years and over who received a flu vaccine in the last two years.,1,1,1,2,1,1,2,1,2,3,1,1,1,18,13,1.38,9,3,1,0,
included,VULNERABLE GROUPS,VULN6,"Smoking, alcohol and lifestyle",Smoking prevalence among Travellers aged 65 years and over,,The proportion of adults aged 65 years and over in the Traveller community who currently smoke.,1,1,1,2,2,1,1,1,1,1,3,1,2,18,13,1.38,9,3,1,0,
included,HEALTHCARE USE,HUSE44,Cardiovascular conditions,"Congestive Heart Failure discharge rate per 1,000 population aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges of people with heart failure aged 65 years and over, per 1,000 population.",1,2,1,1,3,1,1,1,3,1,1,2,1,19,13,1.46,9,2,2,0,
included,FINANCES,FINA2,Socioeconomic status,"Percentage of people aged 65 years and over who are At Risk of Poverty (The at-risk-of-poverty rate measures the percentage of people whose income falls below a set threshold, typically 60% of the national median income)",,"The proportion of adults aged 65 years and over whose income is below the poverty threshold, typically 60% of the median income.",1,1,1,2,1,1,2,1,1,0,1,1,3,16,12,1.33,9,2,1,0,
included,HEALTHCARE USE,HUSE4,Emergency department use,Number of ED attendances,"remove temporarily for delphi survey - and revisit for inclusion in the DATA CATALOGUE.
delete HUSE4 (Core indicators) - no time period given; HUSE40 (TILDA) is the same indicator, but with a time line 'within the last year)",Number of times people aged 65 years and over went to an Emergency Department.,2,1,1,2,1,0,3,1,1,1,1,1,1,16,12,1.33,9,2,1,0,
included,HEALTHCARE USE,HUSE11,Cardiovascular conditions,"Haemorrhagic stroke discharge rate for  per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges of people aged 65 years and over with stroke caused by bleeding in the brain, per 1,000 population",1,1,1,1,3,0,1,3,1,1,1,4,1,19,12,1.58,9,2,0,1,
duplicate,HEALTH STATUS,STAT2,,"Percent of persons over 65+ who are underweight, normal weight, overweightor obese",This is a duplicate - delete it,,1,1,2,3,1,1,1,1,1,3,3,1,1,20,13,1.54,9,1,3,0,
included,HEALTHCARE AVAILABILITY AND INTEGRATION,HAVA1,Caregiving,Percentage of older adults aged 65 years and over who report unmet need for a community care service,,"The proportion of people aged 65 years and over who needed, but didn't get, services like home help or community nursing.",3,1,2,1,4,1,1,1,1,1,1,3,1,21,13,1.62,9,1,2,1,
included,HEALTHCARE USE,HUSE9,Cardiovascular conditions,"Ischaemic heart disease discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges of people aged 65 years and over with stroke caused by blockage or narrowing of arteries, per 1,000 population",1,1,1,2,3,0,1,1,1,1,1,3,1,17,12,1.42,9,1,2,0,
included,DEMOGRAPHICS,DEMO14,Socioeconomic status,Population aged 65 years and over  by principal economic status: At work; Looking for first regular job; Unemployed short term; Unemployed long term; Student; Looking after home/family; Retired; Unable to work due to permanent sickness or disability; Other.,,"The proportion of adults aged 65 years and over who are retired, still working, unemployed, unable to work due to illness, or in other categories.",2,1,1,2,1,1,1,2,1,1,2,2,1,18,13,1.38,8,5,0,0,
included,PROVIDING CARE,PROV2,Caregiving,"Percentage of people aged 65 years and over who do provide care and are providing it to a family member
",changed to aged 65 years and over,"Among carers aged 65 years and over, the percentage who provide care to a family member.",2,1,1,1,2,2,2,1,1,1,1,1,2,18,13,1.38,8,5,0,0,
included,VULNERABLE GROUPS,VULN8,Caregiving,Number of persons funded under Nursing Home Support Scheme (NHSS) in long term residential care,,The number of people aged 65 years and over who are in long-term care funded by the Nursing Home Support Scheme.,2,1,2,2,2,1,2,1,1,1,1,1,1,18,13,1.38,8,5,0,0,
included,HEALTH STATUS,STAT14,Loneliness and wellbeing,Percentage of people aged 65 years and over who rate their quality of life as good or very good,changed to aged 65 years and over,The percentage of adults aged 65 years and over  who feel they have a good or very good quality of life.,1,1,1,2,1,3,2,2,1,2,1,1,1,19,13,1.46,8,4,1,0,
included,HEALTH STATUS,STAT15,Loneliness and wellbeing,Percentage of people aged 65 years and over who rate their quality of life as poor or very poor,changed to aged 65 years and over,The percentage of adults aged 65 years and over who feel they have a poor or very poor quality of life.,1,1,1,2,1,3,2,2,1,2,1,1,1,19,13,1.46,8,4,1,0,
included,HOUSING AND ENVIRONMENT,HOUS2,Living arrangements,Number of Persons aged 65 years and over in Private Households ,,"The number of adults aged 65 years and over living private homes, as opposed to institutional settings such as nursing homes.",2,1,1,2,1,2,2,1,1,1,1,1,3,19,13,1.46,8,4,1,0,
included,HEALTH STATUS,STAT36,Falls and mobility,"Proportion of the population aged 65 years and over who have a difficulty with basic physical activities such as walking, climbing stairs, reaching, lifting or carrying (Yes, to a great extent, Yes to some extent, No)",proportion,"The proportion of adults aged 65 years and over who report difficulty with activities like walking, lifting or climbing stairs.",2,1,1,2,1,1,1,1,1,1,4,2,2,20,13,1.54,8,4,0,1,
included,HEALTH STATUS,STAT37,ADLs & IADLs,"Proportion of the population aged 65 years and over, as a result of a long-lasting condition, have difficulty doing any of the following: Dressing, bathing or getting around inside the home; Going outside the home to shop or visit a doctor’s surgery; Working at a job or business or attending school or college; Participating in other activities, for example leisure or using transport. ",,The proportion of adults aged 65 years and over who have trouble doing everyday tasks (like dressing or going out) due to a long-term health issue.,2,1,1,2,1,1,1,1,1,1,2,4,2,20,13,1.54,8,4,0,1,
included,HEALTHCARE USE,HUSE37,Day and community centre use,Percentage of older adults aged 65 years and over who attend Day Centre Servcies ,,"The proportion of people aged 65 years and over who use community day centres for social, health, or support services.",2,1,2,1,1,1,2,1,4,1,1,2,1,20,13,1.54,8,4,0,1,
included,VULNERABLE GROUPS,VULN16,Intellectual disability,Percentage of people aged 65 years and over  with an intellectual disability who report their health on a scale of very good to very bad,,The degree to which people with an intellectual disability who are aged 65 years and over rate their own health as good or bad.,1,1,1,2,2,1,2,0,1,1,2,1,1,16,12,1.33,8,4,0,0,
included,CONNECTIONS AND PARTICIPATION,CONN3,Social participation,Percentage of those 60 years and over who used the internet in the last 3 months,,The percentage of people aged 60 years and over who have used the internet in the past three months.,3,1,1,3,1,1,2,1,1,1,1,2,2,20,13,1.54,8,3,2,0,
included,HEALTH BEHAVIOURS,BEHV1,Screening and preventive checks,Preventative Measures in the last 12 months of persons aged 65 years and over - Had blood pressure measured,Duplicate:   BEHV1 B.P measurement - Irish health Survey; ,The proportion of adults aged 65 years and over who had their blood pressure checked in the past year.,1,1,1,3,1,2,2,1,3,2,1,1,1,20,13,1.54,8,3,2,0,
included,HEALTH BEHAVIOURS,BEHV21,Screening and preventive checks,Percentage women aged 65 years and over who have had a Mammogram/X-ray,,The proportion of women aged 65 years and over who have had a breast cancer screening test.,1,1,2,3,2,1,1,1,1,3,1,2,1,20,13,1.54,8,3,2,0,
included,HEALTH BEHAVIOURS,BEHV3,Diabetes and metabolic conditions,Preventative Measures in the last 12 months of persons aged 65 years and over - Had blood sugar measured,,The proportion of adults aged 65 years and over who had their blood sugar checked in the past year.,1,1,1,3,1,2,2,1,3,2,1,1,1,20,13,1.54,8,3,2,0,
included,HEALTH BEHAVIOURS,BEHV7,"Smoking, alcohol and lifestyle","Percentage of people aged 65 years and over who drink more than once per week, only once per week, 1-3 times per month, who have not drank in a month or longer, who have never drank ",changed to aged 65 years and over;  Change 'ho have not drank' to 'who have not drank',"The proportion of adults aged 65 years and over who drink alcohol, in categories ranging from never to more than once a week.",1,1,2,2,1,1,1,1,1,3,2,1,3,20,13,1.54,8,3,2,0,
included,CHRONIC DISEASES,CHRD4,Memory and cognition,Percentage of older adults aged 65 years and over who show evidence of mild cognitive impairment,,The proportion of people aged 65 years and over with early signs of memory or thinking difficulties.,2,1,2,4,1,1,2,1,1,1,1,3,1,21,13,1.62,8,3,1,1,
included,HEALTH BEHAVIOURS,BEHV12,"Smoking, alcohol and lifestyle",Percentage of people aged 65 years and over who use e-cigarettes,,The proportion of adults aged 65 years and over who currently use electronic cigarettes or vaping devices.,2,1,1,4,2,1,1,1,1,1,1,3,2,21,13,1.62,8,3,1,1,
included,HEALTH STATUS,STAT28,Vision and hearing,Number of people aged 65 years and over who are deaf or have a hearing impairment by sex,"CHECK WITH DMcK:  ???Duplicate STAT28 (row 68) and STAT27 (row 79); both sources core indicators; STAT 28 is by sex, whereas STAT 27 is the whole population","The number of people aged 65 years and over with hearing difficulties, broken down by sex.",1,1,1,2,2,1,1,1,1,2,4,1,3,21,13,1.62,8,3,1,1,
included,HEALTH STATUS,STAT34,Population demographics,Population by general health - female. Self-reported general health of adults aged 65 years and over (Displayed  as: Very good; Good; Fair; Bad; Very bad; Not stated),,"The proportion of women aged 65 years and over who rate their general health in categories, from very good to very bad.",3,1,1,2,2,1,2,1,1,1,1,4,1,21,13,1.62,8,3,1,1,
included,HEALTH STATUS,STAT35,Population demographics,Population by general health - Male. Self-reported general health of adults aged 65 years and over (Displayed  as: Very good; Good; Fair; Bad; Very bad; Not stated),,"The proportion of men aged 65 years and over who rate their general health in categories, from very good to very bad.",3,1,1,2,2,1,2,1,1,1,1,4,1,21,13,1.62,8,3,1,1,
included,VULNERABLE GROUPS,VULN9,Living arrangements,Number of Nursing Home Support Scheme (NHSS) beds in public long stay units,,The number of publicly funded beds available under the NHSS for long-term residential care.,2,1,2,3,2,1,1,1,1,1,1,4,1,21,13,1.62,8,3,1,1,
included,HEALTH BEHAVIOURS,BEHV19,Screening and preventive checks,Percentage men aged 65 years and over who have had a prostate exam in the previous 2 years,TB check tILDA questionwith Mark ward - wave 5 2018. :  BEHV19 is TILDA source: check timelines - in the last 2 years??,The proportion of men aged 65 years and over who have been screened for prostate health by means of a prostate examination,1,1,2,4,2,1,1,1,1,1,4,2,1,22,13,1.69,8,3,0,2,
included,HEALTH STATUS,STAT22,Vision and hearing,Number of people aged 65 years and over  who are blind or have a visual impairment by sex,,"The number of adults aged 65 years and over with serious sight loss, shown by sex.",3,1,1,3,2,1,1,1,1,2,4,1,1,22,13,1.69,8,2,2,1,
included,HEALTH STATUS,STAT40,ADLs & IADLs,Percentage of older adults aged 65 years and over who report limitations in Activites in Daily Living (ADLs),,"The proportion of people aged 65 years and over who need help with everyday personal care tasks like bathing, dressing, or eating.",2,1,1,2,1,3,1,1,1,3,1,4,1,22,13,1.69,8,2,2,1,
included,HEALTHCARE USE,HUSE29,Respiratory conditions,"Lower respiratory infection discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for lung infections (like bronchitis or pneumonia) per 1,000 adults aged 65 years and over.",1,1,1,1,3,0,2,3,1,1,1,2,1,18,12,1.50,8,2,2,0,
included,HEALTHCARE USE,HUSE30,Falls and mobility,"Falls discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges due to falls per 1,000 adults aged 65 years and over",1,1,1,2,3,0,1,3,1,1,1,2,1,18,12,1.50,8,2,2,0,
included,HEALTHCARE USE,HUSE24,Memory and cognition,"Alzheimer's disease discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for Alzheimer's disease per 1,000 adults aged 65 years and over",1,1,1,2,3,0,1,3,1,1,1,2,1,18,12,1.50,8,2,1,0,
included,HEALTHCARE USE,HUSE3,Caregiving,Percentage of people aged 65 and over who have been admitted as a day case by sex and year,changed to aged 65 years and over,"The proportion of adults aged 65 years and over who were admitted to hospital for day-only care, by sex and year.",3,1,1,1,2,0,1,1,1,1,1,4,2,19,12,1.58,8,2,0,2,
duplicate,HEALTH STATUS,STAT27,Vision and hearing,Number of people aged 65 years and over who are deaf or have a hearing impairment,"Deciosn 1.07.25 5o use muber and sex 
CHECK WITH DMcK:  ???Duplicate STAT28 (row 68) and STAT27 (row 79); both sources core indicators; STAT 28 is by sex, whereas STAT 27 is the whole population",The number of adults aged 65 years and over who report difficulty hearing.,1,1,1,3,3,1,2,1,1,1,4,1,3,23,13,1.77,8,1,3,1,
included,HEALTHCARE USE,HUSE45,Respiratory conditions,"Pneumonia discharge rate per 1,000 population aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges due to pneumonia per 1,000 people aged 65 years and over.",1,2,1,1,3,1,1,3,3,1,1,4,1,23,13,1.77,8,1,3,1,
included,DEMOGRAPHICS,DEMO3,Population demographics,Projected Dependency Ratios from 2022,definiton for projected dependency ratio - DMk- done,"Estimates showing the possible future number of people aged 65 years and over, compared to those of working age, used to plan future services. Dependency ratio: The dependency ratio is a demographic indicator that compares the number of people considered to be dependents (too young or too old to be in the workforce) to the number of people considered to be in the working-age population. It essentially measures the burden on the working population to support the non-working age groups ( can be calculated by adding people aged 0-15 to those aged 65+ and dividing the whole lot by people aged 16-64 years)",1,1,1,2,1,1,0,3,1,1,3,3,1,19,12,1.58,8,1,3,0,
duplicate - remove TILDA,HEALTH BEHAVIOURS,BEHV18,Diabetes and metabolic conditions,Percentage of older adults aged 65 years and over who have had a blood test for cholesterol (IN THE PAST YEAR?),DELETE for delphi but re-consider after delphi- and used HIS_  BEHV18 - tilda source - no time given,The proportion of adults aged 65 years and over who had their cholesterol checked in the past year.,1,1,1,4,2,1,3,1,1,3,1,4,1,24,13,1.85,8,1,2,2,
included,HEALTHCARE USE,HUSE12,Cardiovascular conditions,"Hypertensive heart disease discharge rate for per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for hypertensive heart disease per 1,000 adults aged 65 years and over",1,1,1,2,3,0,1,3,1,1,1,4,1,20,12,1.67,8,1,2,1,
included,HEALTHCARE USE,HUSE13,Cancer,"Tracheal, bronchial and lung cancer discharge rate for per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges due to cancers of the lung and airways per 1,000 adults aged 65 years and over",1,1,1,2,3,0,1,3,1,1,1,4,1,20,12,1.67,8,1,2,1,
included,HEALTHCARE USE,HUSE14,Cancer,"Breast cancer discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for breast cancer per 1,000 adults aged 65 years and over",1,1,1,2,3,0,1,3,1,1,1,4,1,20,12,1.67,8,1,2,1,
included,HEALTHCARE USE,HUSE15,Cancer,"Colorectal cancer discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for colon or rectal cancer per 1,000 adults aged 65 years and over",1,1,1,2,3,0,1,3,1,1,1,4,1,20,12,1.67,8,1,2,1,
included,HEALTHCARE USE,HUSE22,Diabetes and metabolic conditions,"Diabetes discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges related to diabetes per 1,000 adults aged 65 years and over",1,1,1,2,3,0,1,3,1,1,1,4,1,20,12,1.67,8,1,2,1,
included,HEALTHCARE USE,HUSE23,Kidney and urinary,"Chronic kidney disease discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges for long-term kidney disease per 1,000 adults aged 65 years and over",1,1,1,2,3,0,1,3,1,1,1,4,1,20,12,1.67,8,1,2,1,
included,VULNERABLE GROUPS,VULN5,Population demographics,Travellers  aged 65 years and over self-reported general health (very bad to very good),,The proportion of adults aged 65 years and over in the Traveller community who rate their general health in categories from very bad to very good,1,1,1,2,2,1,2,1,1,1,2,2,2,19,13,1.46,7,6,0,0,
